Team,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Chennai Super Kings,2nd,SF,1st,1st,2nd,2nd,3rd,2nd,,,1st,2nd,7th,1st,9th
Delhi Capitals,SF,SF,5th,10th,3rd,9th,8th,7th,6th,6th,8th,3rd,2nd,3rd,5th
Kolkata Knight Riders,6th,8th,6th,4th,1st,7th,1st,5th,4th,3rd,3rd,5th,5th,2nd,7th
Mumbai Indians,5th,7th,2nd,3rd,4th,1st,4th,1st,5th,1st,5th,1st,1st,5th,10th
Punjab Kings,SF,5th,8th,5th,6th,6th,2nd,8th,8th,5th,7th,6th,6th,6th,6th
Rajasthan Royals,1st,6th,7th,6th,7th,3rd,5th,4th,,,4th,7th,8th,7th,2nd
Royal Challengers Bangalore,7th,2nd,3rd,2nd,5th,5th,7th,3rd,2nd,8th,6th,8th,4th,4th,3rd
Sunrisers Hyderabad,,,,,,4th,6th,6th,1st,4th,2nd,4th,3rd,8th,8th
Gujarat Titans,,,,,,,,,,,,,,,1st
Lucknow Super Giants,,,,,,,,,,,,,,,4th
Deccan Chargers,8th,1st,4th,7th,8th,,,,,,,,,,
Gujarat Lions,,,,,,,,,3rd,7th,,,,,
Kochi Tuskers Kerala,,,,8th,,,,,,,,,,,
Pune Warriors India,,,,9th,9th,8th,,,,,,,,,
Rising Pune Supergiants,,,,,,,,,7th,2nd,,,,,